id,title,authors,venue,year,citationCount,referenceCount,influentialCitationCount,doi,url
6d492608a3af872eff0e6bf0a441192472f7eb26,Learning semantic representations of objects and their parts,Grégoire Mesnil; Antoine Bordes; J. Weston; Gal Chechik; Yoshua Bengio,Machine-mediated learning,2014,15,42,1,10.1007/s10994-013-5336-9,https://www.semanticscholar.org/paper/6d492608a3af872eff0e6bf0a441192472f7eb26
7a24ec97e7f2881e245d20c46a56cbbfc734a4ff,Reweighted Wake-Sleep,J. Bornschein; Yoshua Bengio,International Conference on Learning Representations,2014,202,23,31,,https://www.semanticscholar.org/paper/7a24ec97e7f2881e245d20c46a56cbbfc734a4ff
7c1cdcbdd30163f3d7fd9789e42c4a37eb2f7f04,Learning Concept Embeddings for Query Expansion by Quantum Entropy Minimization,Alessandro Sordoni; Yoshua Bengio; Jian-Yun Nie,AAAI Conference on Artificial Intelligence,2014,50,29,4,10.1609/aaai.v28i1.8933,https://www.semanticscholar.org/paper/7c1cdcbdd30163f3d7fd9789e42c4a37eb2f7f04
7dbf015c2ca576d340b5fa2626c70bb037198645,How Auto-Encoders Could Provide Credit Assignment in Deep Networks via Target Propagation,Yoshua Bengio,arXiv.org,2014,219,64,20,,https://www.semanticscholar.org/paper/7dbf015c2ca576d340b5fa2626c70bb037198645
851c27d7cdb74b0b21bd84a9333bca106f486713,Low precision storage for deep learning,Matthieu Courbariaux; Yoshua Bengio; J. David,,2014,51,27,4,,https://www.semanticscholar.org/paper/851c27d7cdb74b0b21bd84a9333bca106f486713
8604f376633af8b347e31d84c6150a93b11e34c2,FitNets: Hints for Thin Deep Nets,Adriana Romero; Nicolas Ballas; Samira Ebrahimi Kahou; Antoine Chassang; C. Gatta; Yoshua Bengio,International Conference on Learning Representations,2014,4892,38,523,,https://www.semanticscholar.org/paper/8604f376633af8b347e31d84c6150a93b11e34c2
8710635f1b6acceaeec1bd3422b9120a54df9dab,On the saddle point problem for non-convex optimization,Razvan Pascanu; Yann Dauphin; S. Ganguli; Yoshua Bengio,arXiv.org,2014,117,20,4,,https://www.semanticscholar.org/paper/8710635f1b6acceaeec1bd3422b9120a54df9dab
92baee63a8762a636a1fa4082b85a490b8f3b4ec,Deep Tempering,Guillaume Desjardins; Heng Luo; Aaron C. Courville; Yoshua Bengio,arXiv.org,2014,10,14,1,,https://www.semanticscholar.org/paper/92baee63a8762a636a1fa4082b85a490b8f3b4ec
981ce6b655cc06416ff6bf7fac8c6c2076fd7fac,Identifying and attacking the saddle point problem in high-dimensional non-convex optimization,Yann Dauphin; Razvan Pascanu; Çaglar Gülçehre; Kyunghyun Cho; S. Ganguli; Yoshua Bengio,Neural Information Processing Systems,2014,1556,30,87,,https://www.semanticscholar.org/paper/981ce6b655cc06416ff6bf7fac8c6c2076fd7fac
ac3ee98020251797c2b401e1389461df88e52e62,Empirical Evaluation of Gated Recurrent Neural Networks on Sequence Modeling,Junyoung Chung; Çaglar Gülçehre; Kyunghyun Cho; Yoshua Bengio,arXiv.org,2014,15061,20,1588,,https://www.semanticscholar.org/paper/ac3ee98020251797c2b401e1389461df88e52e62
b034b5769ab94acf9fb8ae48c7edb560a300bb63,On the Number of Linear Regions of Deep Neural Networks,Guido Montúfar; Razvan Pascanu; Kyunghyun Cho; Yoshua Bengio,Neural Information Processing Systems,2014,1433,22,108,,https://www.semanticscholar.org/paper/b034b5769ab94acf9fb8ae48c7edb560a300bb63
b3ccb7fff54b2b328945fcbe465931193ceecf62,Deep Directed Generative Autoencoders,Sherjil Ozair; Yoshua Bengio,arXiv.org,2014,19,20,0,,https://www.semanticscholar.org/paper/b3ccb7fff54b2b328945fcbe465931193ceecf62
b948c3dc682f176610659f2604f86ee6a6096bbe,ADASECANT: Robust Adaptive Secant Method for Stochastic Gradient,Çaglar Gülçehre; Yoshua Bengio,arXiv.org,2014,21,17,3,,https://www.semanticscholar.org/paper/b948c3dc682f176610659f2604f86ee6a6096bbe
c09acaa24088d28a961b8c3759237c24b50ef716,Difference Target Propagation,Dong-Hyun Lee; Saizheng Zhang; Asja Fischer; Yoshua Bengio,ECML/PKDD,2014,433,30,37,10.1007/978-3-319-23528-8_31,https://www.semanticscholar.org/paper/c09acaa24088d28a961b8c3759237c24b50ef716
c175081733d98e63fa68a70405a35804c318afc5,Iterative Neural Autoregressive Distribution Estimator NADE-k,T. Raiko; L. Yao; Kyunghyun Cho; Yoshua Bengio,Neural Information Processing Systems,2014,42,21,3,,https://www.semanticscholar.org/paper/c175081733d98e63fa68a70405a35804c318afc5
c2f40e552f187be602e4c595a257c01b57220ee1,Scaling up deep learning,Yoshua Bengio,Knowledge Discovery and Data Mining,2014,11,0,1,10.1145/2623330.2630802,https://www.semanticscholar.org/paper/c2f40e552f187be602e4c595a257c01b57220ee1
