id,title,authors,venue,year,citationCount,referenceCount,influentialCitationCount,doi,url
9f73c3f86026c21d0e5e55c70462952c6ada1175,Accelerating Deep Learning by Focusing on the Biggest Losers,Angela H. Jiang; Daniel L.-K. Wong; Giulio Zhou; D. Andersen; J. Dean; G. Ganger; Gauri Joshi; M. Kaminsky; M. Kozuch; Zachary Chase Lipton; Padmanabhan Pillai,arXiv.org,2019,164,32,27,,https://www.semanticscholar.org/paper/9f73c3f86026c21d0e5e55c70462952c6ada1175
22ba3276c8797fddeb5d9db083ed1010da182549,A Hierarchical Model for Device Placement,Azalia Mirhoseini; Anna Goldie; Hieu Pham; Benoit Steiner; Quoc V. Le; J. Dean,International Conference on Learning Representations,2018,169,37,20,,https://www.semanticscholar.org/paper/22ba3276c8797fddeb5d9db083ed1010da182549
5f2b66bf96ac126e274eacc2743c77d234106c1a,OPTIMISATION DE PLACEMENT DE DISPOSITIF AVEC APPRENTISSAGE DE RENFORCEMENT,S. Bengio; Mohammad Norouzi; Benoit Steiner; J. Dean; Hieu Pham; Azalia Mirhoseini; Quoc V. Le; Naveen Kumar; Yuefeng Zhou; Rasmus Larsen,,2018,0,0,0,,https://www.semanticscholar.org/paper/5f2b66bf96ac126e274eacc2743c77d234106c1a
8cc88c393e50c34355114fc147395f03068a39a8,Faster Discovery of Neural Architectures by Searching for Paths in a Large Model,Hieu Pham; M. Guan; Barret Zoph; Quoc V. Le; J. Dean,International Conference on Learning Representations,2018,12,53,1,,https://www.semanticscholar.org/paper/8cc88c393e50c34355114fc147395f03068a39a8
9be06a5e3c1399af13c62e89952d25237dd7335d,Hierarchical Planning for Device Placement,Azalia Mirhoseini; Anna Goldie; Hieu Pham; Benoit Steiner; Quoc V. Le; J. Dean,,2018,28,0,4,,https://www.semanticscholar.org/paper/9be06a5e3c1399af13c62e89952d25237dd7335d
9ed53d949959165188ab2e5fd76f686d692d43ea,Dynamic control flow in large-scale machine learning,Yuan Yu; Martín Abadi; P. Barham; E. Brevdo; M. Burrows; Andy Davis; J. Dean; S. Ghemawat; Tim Harley; Peter G. Hawkins; M. Isard; M. Kudlur; R. Monga; D. Murray; Xiaoqiang Zheng,European Conference on Computer Systems,2018,114,46,9,10.1145/3190508.3190551,https://www.semanticscholar.org/paper/9ed53d949959165188ab2e5fd76f686d692d43ea
bacab55a58d762c37d695ce892a5092f761ebc2a,A New Golden Age in Computer Architecture: Empowering the Machine-Learning Revolution,J. Dean; David A. Patterson; C. Young,IEEE Micro,2018,176,25,5,10.1109/MM.2018.112130030,https://www.semanticscholar.org/paper/bacab55a58d762c37d695ce892a5092f761ebc2a
f19275f9f7d231b6a263a9cf6b01c6dda6b38c80,"2018-00358-PhD Position / Scientific computing / Optimization , machine learning and statistical methods",M. Abadi; A. Agarwal; P. Barham; E. Brevdo; Z. Chen; C. Citro; G. Corrado; A. Davis; J. Dean; Principales activités,,2018,0,3,0,,https://www.semanticscholar.org/paper/f19275f9f7d231b6a263a9cf6b01c6dda6b38c80
fe9b8aac9fa3bfd9724db5a881a578e471e612d7,Efficient Neural Architecture Search via Parameter Sharing,Hieu Pham; M. Guan; Barret Zoph; Quoc V. Le; J. Dean,International Conference on Machine Learning,2018,3080,55,512,,https://www.semanticscholar.org/paper/fe9b8aac9fa3bfd9724db5a881a578e471e612d7
510e26733aaff585d65701b9f1be7ca9d5afc586,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,Noam Shazeer; Azalia Mirhoseini; Krzysztof Maziarz; Andy Davis; Quoc V. Le; Geoffrey E. Hinton; J. Dean,International Conference on Learning Representations,2017,5626,45,538,,https://www.semanticscholar.org/paper/510e26733aaff585d65701b9f1be7ca9d5afc586
bfbd10ebffc9494423770a5bd30ebd0f9cbce66d,Device Placement Optimization with Reinforcement Learning,Azalia Mirhoseini; Hieu Pham; Quoc V. Le; Benoit Steiner; Rasmus Larsen; Yuefeng Zhou; Naveen Kumar; Mohammad Norouzi; Samy Bengio; J. Dean,International Conference on Machine Learning,2017,496,51,40,,https://www.semanticscholar.org/paper/bfbd10ebffc9494423770a5bd30ebd0f9cbce66d
ce2c07859901697777bfe116db071f6c9686a1cf,Ju n 20 17 Device Placement Optimization with Reinforcement Learning,Azalia Mirhoseini; Hieu Pham; Quoc V. Le; Benoit Steiner; Rasmus Larsen; Yuefeng Zhou; Naveen Kumar; Mohammad Norouzi; Samy Bengio; J. Dean,,2017,1,39,0,,https://www.semanticscholar.org/paper/ce2c07859901697777bfe116db071f6c9686a1cf
acb0f36d81569220e18ab4186533e0f6dbc46462,Building Machine Learning Systems that Understand,J. Dean,SIGMOD Conference,2016,4,2,0,10.1145/2882903.2932259,https://www.semanticscholar.org/paper/acb0f36d81569220e18ab4186533e0f6dbc46462
c28eaab5ca2641e264b62a9ae83c643220bfe918,The rise of cloud computing systems,J. Dean,SOSP History Day,2015,7,3,0,10.1145/2830903.2830913,https://www.semanticscholar.org/paper/c28eaab5ca2641e264b62a9ae83c643220bfe918
78a55d9f84a63b8d6b2071e4d096800dac74f58e,Subgrouped Real Time Recurrent Learning Neural Networks,J. Dean,,1994,0,0,0,,https://www.semanticscholar.org/paper/78a55d9f84a63b8d6b2071e4d096800dac74f58e
